id,rle_mask
5d6e5fe652,64 38 165 38 265 39 366 39 467 39 568 39 669 39 771 38 872 38 973 38 1073 39 1174 39 1274 40 1376 39 1477 39 1578 39 1679 39 1779 40 1879 41 1979 42 2079 43 2179 44 2280 44 2381 44 2483 43 2586 41 2688 40 2791 38 2894 36 2996 35 3098 34 3200 33 3302 32 3404 31 3506 30 3608 29 3710 28 3812 27 3915 25 4018 23 4120 22 4223 20 4325 19 4428 17 4531 15 4634 13 4736 12 4838 11 4941 9 5043 8 5144 8 5246 7 5347 7 5448 7 5550 6 5651 6 5753 5 5856 3 5957 3 6059 2 6159 3 6259 4 6358 6 6457 8 6556 10 6655 12 6754 14 6853 16 6950 20 7044 27 7140 32 7237 36 7335 39 7435 40 7534 42 7635 42 7736 42 7838 41 7945 35 8050 31 8160 22 8264 19 8369 15 8471 14 8573 13 8675 12 8777 11 8878 11 8979 11 9080 11 9181 11 9282 11 9382 12 9483 12 9584 12 9685 12 9786 12 9887 12 9988 12 10089 12 10190 12
2d5933d5f6,
67b4e6e068,4326 18 4422 23 4518 28 4614 33 4712 36 4808 41 4903 47 4995 56 5090 62 5186 67 5282 72 5376 79 5473 83 5559 5 5566 4636
3496c1d5b3,87 15 188 15 290 14 391 14 492 14 594 13 695 13 797 12 899 11 1000 11 1102 10 1204 9 1306 8 1407 8 1509 7 1611 6 1713 5 1815 4 1917 3 2020 1
aad709fe6f,8990 1 9091 2 9192 3 9293 4 9394 6 9495 7 9596 8 9697 10 9798 11 9899 13 10000 16 10101 18
dcc130871b,
b5fc6574cc,76 26 178 25 279 25 380 25 482 24 583 24 684 24 784 25 885 25 985 26 1086 26 1186 27 1287 27 1388 27 1488 28 1589 28 1691 27 1792 27 1893 27 1995 9 2009 7 2019 2
b6100c2809,94 8 193 10 292 12 390 15 488 18 584 23 681 27 775 34 871 39 968 43 1066 46 1163 50 1261 53 1357 58 1455 61 1554 63 1652 66 1751 68 1849 71 1947 74 2045 77 2144 79 2243 81 2343 82 2443 83 2543 84 2643 85 2744 85 2844 86 2943 88 3043 89 3143 90 3244 90 3344 91 3444 92 3544 93 3644 94 3744 95 3844 96 3944 97 4045 97 4145 98 4245 2826 7072 100 7176 97 7279 95 7382 93 7485 91 7587 90 7688 90 7789 90 7890 90 7991 90 8094 88 8197 86 8300 84 8402 83 8504 82 8606 81 8707 81 8809 80 8910 80 9011 80 9112 80 9213 80 9314 80 9415 80 9516 80 9616 81 9718 80 9819 80 9920 80 10021 80 10122 80
8972857ec9,1716 2 1812 7 1909 11 2006 15 2105 17 2204 19 2303 21 2402 23 2501 25 2600 27 2700 28 2800 29 2900 30 3000 31 3101 31 3201 32 3301 33 3401 34 3502 34 3602 35 3703 35 3804 35 3905 35 4006 35 4107 35 4208 35 4309 35 4410 35 4511 35 4611 36 4712 36 4813 36 4914 36 5015 36 5116 36 5217 36 5319 35 5420 35 5522 34 5625 32 5727 31 5831 28 5933 27 6036 25 6138 24 6241 22 6343 21 6446 19 6548 18 6650 17 6752 16 6854 15 6956 14 7057 14 7158 14 7259 14 7360 14 7461 14 7562 14 7662 15 7762 16 7862 17 7963 17 8063 18 8163 19 8263 20 8364 20 8464 21 8564 22 8664 23 8765 23 8865 24 8964 26 9063 28 9162 30 9261 32 9360 34 9459 36 9557 39 9656 41 9756 42 9857 42 9957 43 10058 43 10159 43
efce4de15c,3738 1 3839 9 3940 15 4041 18 4142 22 4243 24 4344 25 4445 26 4546 27 4647 28 4748 29 4849 29 4950 29 5051 28 5152 27 5253 26 5354 24 5455 23 5556 21 5657 21 5758 20 5859 20 5960 19 6061 19 6162 19 6263 18 6364 18 6465 18 6566 17 6667 17 6768 17 6869 18 6970 19 7071 21 7172 24 7273 26 7374 31 7475 35 7576 38 7677 41 7778 44 7879 46 7980 48 8081 50 8182 54 8283 58 8384 62 8485 64 8586 65 8687 65 8788 65 8889 64 8990 64 9091 63 9192 63 9293 62 9394 61 9495 60 9596 59 9697 58 9798 56 9899 55 10000 54 10101 53
5344ef1b33,2616 11 2713 15 2804 25 2902 28 3000 31 3097 35 3193 40 3291 43 3389 46 3487 49 3586 51 3684 54 3784 55 3885 55 3987 54 4089 53 4189 54 4286 58 4385 60 4483 63 4579 68 4677 71 4774 75 4872 78 4967 84 5063 89 5153 5049
a36735c684,
37377158c5,1 1308 1314 90 1415 77 1516 64 1617 42 1663 13 1718 35 1819 30 1920 22 2021 19 2122 13 2223 3
deb1b058f8,83 19 185 18 287 17 390 15 493 13 595 12 698 10 801 8 904 6 1008 3
143ef299ab,
85d82d8218,77 25 178 25 278 26 378 27 478 28 577 30 676 32 777 32 877 33 978 33 1079 33 1181 32 1284 30 1387 28 1491 25 1594 23 1698 20 1803 16 1907 13 2013 8 2117 5 2221 2
bef04e89bc,1 27 102 27 203 27 304 26 405 26 506 26 607 26 708 25 809 25 910 25 1011 25 1112 25 1213 25 1314 25 1415 24 1516 24 1617 24 1718 23 1819 23 1920 22 2021 22 2122 22 2223 22 2324 22 2425 21 2526 21 2627 21 2728 21 2829 21 2930 21 3031 21 3132 21 3233 21 3334 21 3435 21 3536 21 3637 21 3738 21 3839 21 3940 21 4041 21 4142 21 4243 20 4344 20 4445 20 4546 19 4647 19 4748 19 4849 18 4950 18 5051 18 5152 17 5253 17 5354 16 5455 16 5556 16 5657 16 5758 15 5859 15 5960 15 6061 15 6162 15 6263 14 6364 14 6465 14 6566 14 6667 14 6768 14 6869 14 6970 14 7071 14 7172 14 7273 14 7374 14 7475 14 7576 14 7677 15 7778 15 7879 15 7980 16 8081 16 8182 17 8283 17 8384 17 8485 18 8586 18 8687 18 8788 18 8889 19 8990 19 9091 19 9192 19 9293 19 9394 18 9495 18 9596 18 9697 18 9798 18 9899 18 10000 17 10101 17
b332da5919,
6a1defeaa5,1 12 17 10185
62d9d1fc79,
e4ce609688,
90c2ceb801,4848 1 4946 4 5045 6 5144 8 5244 9 5343 11 5442 13 5541 15 5640 17 5739 19 5839 20 5937 23 6036 25 6135 27 6233 30 6331 33 6430 35 6529 37 6627 40 6725 43 6824 45 6922 48 7019 52 7117 55 7215 58 7312 62 7406 69 7500 76 7597 80 7694 84 7793 86 7890 90 7989 92 8087 2115
de7a0dc03b,1 6969 6983 88 7089 83 7198 75 7305 69 7410 65 7516 60 7621 56 7727 51 7834 45 7939 41 8046 35 8152 23 8258 13
ecda478e37,
88fa975478,3827 4 3912 28 4010 31 4109 33 4209 34 4309 35 4410 35 4511 35 4611 36 4712 36 4813 36 4914 36 5014 37 5115 37 5215 38 5315 39 5415 40 5515 41 5615 42 5715 43 5816 43 5915 45 6015 46 6115 47 6215 48 6315 49 6415 50 6516 50 6616 51 6717 51 6818 51 6919 51 7019 52 7120 52 7221 52 7321 53 7422 53 7523 53 7624 53 7724 54 7825 54 7926 54 8027 54 8128 54 8229 54 8330 54 8431 54 8532 54 8633 54 8733 55 8834 55 8935 55 9036 55 9137 55 9237 56 9338 56 9439 56 9539 57 9639 58 9740 58 9840 59 9941 59 10041 60 10142 60
6569d102b6,12 90 113 90 215 89 317 88 418 88 520 87 622 86 723 86 825 85 926 85 1028 84 1129 84 1230 84 1332 83 1433 83 1534 83 1636 82 1738 81 1839 81 1941 80 2043 79 2144 79 2246 78 2347 78 2449 77 2550 77 2651 77 2752 77 2854 76 2955 76 3056 76 3157 76 3258 76 3360 75 3461 75 3562 75 3663 75 3764 75 3865 75 3967 74 4068 74 4169 74 4270 74 4371 74 4472 74 4573 74 4674 74 4775 74 4876 74 4976 75 5077 75 5178 75 5278 76 5379 76 5479 77 5580 77 5680 78 5780 79 5881 79 5981 80 6082 80 6183 80 6284 80 6384 81 6485 81 6586 81 6687 81 6788 81 6889 81 6990 81 7091 81 7192 81 7292 82 7393 82 7494 82 7594 83 7695 83 7795 84 7896 84 7996 85 8097 85 8197 86 8298 86 8399 86 8500 86 8600 87 8701 87 8802 87 8902 88 9003 88 9103 89 9204 89 9304 90 9404 91 9504 92 9604 93 9704 94 9803 96 9903 97 10004 97 10105 97
4cc08d6a80,297 4 395 10 495 11 595 12 696 12 796 13 896 14 997 14 1097 15 1198 15 1299 15 1400 15 1501 15 1602 15 1703 15 1804 15 1905 15 2006 15 2108 14 2209 14 2311 13 2413 12 2515 11 2617 10 2720 8 2825 4 6862 7 6959 11 7057 14 7157 15 7257 16 7357 17 7458 17 7558 18 7658 19 7757 21 7856 23 7954 26 8053 28 8153 29 8252 31 8352 32 8452 33 8552 34 8650 37 8748 40 8846 43 8945 45 9044 47 9144 48 9244 49 9344 50 9443 52 9542 54 9638 59 9736 62 9835 64 9935 65 10035 66 10135 67
be2d77edfc,
c84f0d4dd9,1 3939 3942 99 4046 96 4148 95 4249 95 4349 96 4449 97 4547 5655
556d61cbf4,
49b7be4ef2,1 6853 6869 78 6970 68 7071 63 7172 37 7224 1 7273 8 7284 9
1477d3e710,
973038e1c1,8413 2 8513 4 8613 5 8714 5 8814 7 8915 7 9015 8 9115 9 9216 10 9316 11 9417 10 9517 11 9618 11 9718 12 9819 12 9919 13 10020 12 10120 13
7cb042c4eb,5051 4 5152 7 5253 9 5354 12 5455 15 5556 18 5657 21 5758 22 5859 23 5960 24 6061 25 6162 26 6263 27 6364 28 6465 30 6566 32 6667 33 6768 35 6869 36 6970 37 7071 38 7172 39 7273 40 7374 41 7475 41 7576 42 7677 43 7778 44 7879 44 7980 45 8081 46 8182 47 8283 47 8384 48 8485 48 8586 48 8687 48 8788 48 8889 48 8990 48 9091 49 9192 49 9293 50 9394 50 9495 50 9596 51 9697 51 9798 51 9899 51 10000 51 10101 51
a0637bbf74,1 23 102 24 203 25 304 28 405 30 506 34 607 37 708 39 809 41 910 42 1016 39 1122 35 1226 34 1332 30 1435 29 1540 26 1643 25 1746 25 1849 25 1953 25 2057 24 2159 25 2263 24 2367 22 2469 23 2572 22 2675 20 2777 19 2879 18 2981 17 3083 16 3186 14 3288 13 3389 13 3490 13 3591 13 3692 13 3792 15 3892 16 3993 17 4093 18 4194 19 4295 19 4396 20 4496 21 4597 21 4697 23 4797 24 4897 25 4997 26 5097 26 5197 27 5297 27 5396 28 5494 30 5591 33 5688 36 5784 40 5881 43 5978 46 6075 49 6171 53 6269 55 6369 55 6469 56 6569 57 6669 58 6770 59 6871 59 6971 61 7071 63 7172 64 7273 64 7374 64 7475 65 7576 65 7677 65 7778 65 7879 65 7980 66 8081 67 8182 68 8283 70 8384 71 8485 72 8586 73 8687 73 8788 74 8889 75 8990 75 9091 76 9192 77 9293 79 9394 81 9495 84 9596 88 9697 90 9798 93 9899 95 10000 96 10101 97
d063e9625c,
b6274f23a3,
6550e7b59a,1 24 102 24 203 23 304 23 405 22 506 21 607 20 708 18 809 17 910 16 1011 16 1112 14 1213 13 1314 12 1415 11 1516 9 1617 8 1718 5 1819 4 1920 3 2021 2 2122 2 2223 2 2324 2 2425 1 2526 1
8b9135cb6e,
38edaacd98,
c0df1c6bc5,
9edc9cd726,
e6f2179d84,8889 3 8990 7 9091 9 9192 12 9293 14 9394 17 9495 19 9596 25 9697 29 9798 36 9899 41 10000 47 10101 49
809d3a2b71,1 706 708 98 809 96 910 94 1011 92 1112 89 1213 88 1314 87 1415 85 1516 84 1617 84 1718 83 1819 82 1920 82 2021 81 2122 81 2223 81 2324 81 2425 81 2526 81 2627 81 2728 81 2829 81 2930 81 3031 81 3132 81 3233 81 3334 81 3435 81 3536 82 3637 82 3738 82 3839 81 3940 81 4041 81 4142 81 4243 81 4344 81 4445 80 4546 80 4647 80 4748 80 4849 79 4950 78 5051 78 5152 77 5253 76 5354 75 5455 73 5556 72 5657 71 5758 70 5859 70 5960 69 6061 68 6162 67 6263 66 6364 65 6465 64 6566 62 6667 60 6768 52 6869 49 6970 46 7071 43 7172 42 7273 41 7374 41 7475 40 7576 40 7677 39 7778 38 7879 38 7980 37 8081 36 8182 35 8283 34 8384 34 8485 33 8586 33 8687 32 8788 32 8889 32 8990 31 9091 31 9192 31 9293 31 9394 30 9495 30 9596 30 9697 30 9798 30 9899 29 10000 29 10101 28
3f404c5022,
355952537c,
0350a9e3bd,
e49d683e92,1 4833 4849 81 4950 77 5051 74 5152 72 5253 71 5354 69 5455 68 5556 67 5657 67 5758 67 5859 67 5960 66 6061 65 6162 64 6263 63 6364 61 6465 60 6566 59 6667 58 6768 57 6869 55 6970 54 7071 53 7172 51 7273 50 7374 48 7475 46 7576 44 7677 42 7778 40 7879 39 7980 38 8081 37 8182 36 8283 35 8384 34 8485 34 8586 33 8687 33 8788 33 8889 33 8990 33 9091 33 9192 32 9293 31 9394 29 9495 27 9596 23 9697 19 9798 14 9899 11 10000 8 10101 7
28c49076d1,31 71 132 71 233 71 334 71 436 70 539 68 641 67 743 66 846 64 953 58 1056 56 1158 55 1260 54 1362 53 1463 53 1565 52 1666 52 1767 52 1869 51 1970 51 2071 51 2172 51 2274 50 2375 50 2476 50 2577 50 2678 50 2779 50 2880 50 2981 50 3082 50 3184 49 3285 49 3387 48 3488 48 3589 48 3691 47 3792 47 3893 47 3994 47 4095 47 4196 47 4298 46 4399 46 4501 45 4603 44 4704 44 4805 44 4906 44 5007 44 5107 45 5208 45 5308 46 5409 46 5509 47 5610 47 5709 49 5809 50 5909 51 6009 52 6109 53 6209 54 6308 56 6407 58 6507 59 6605 62 6702 66 6799 70 6898 72 6997 74 7096 80 7196 88 7295 93 7394 2808
e2a8145eae,5262 8 5354 19 5455 25 5556 34 5657 50 5758 70 5859 86 5960 95 6061 4141
676b7b2d48,
98aee6595f,1 8080 8084 98 8185 98 8286 98 8387 98 8488 98 8589 98 8690 98 8791 98 8892 98 8993 98 9094 98 9195 98 9297 97 9398 97 9499 97 9600 97 9701 97 9802 97 9903 97 10005 96 10106 96
233b762d1a,1 4 102 2 203 1
7404408177,4375 16 4463 40 4559 53 4657 64 4755 75 4853 83 4950 93 5051 97 5152 4545 9699 99 9800 99 9902 98 10003 98 10103 99
f6736eaab1,1 1615 1617 98 1718 96 1819 95 1920 94 2021 94 2122 93 2223 93 2324 93 2425 93 2526 94 2627 94 2728 94 2829 94 2930 94 3031 95 3132 95 3233 95 3334 94 3435 94 3536 94 3637 94 3738 93 3839 92 3940 91 4041 90 4142 89 4243 87 4344 85 4445 83 4546 79 4647 75 4748 73 4849 71 4950 70 5051 69 5152 68 5253 67 5354 66 5455 65 5556 64 5657 63 5758 61 5859 61 5960 60 6061 59 6162 58 6263 57 6364 57 6465 56 6566 56 6667 55 6768 54 6869 53 6970 52 7071 52 7172 51 7273 49 7374 48 7475 47 7576 45 7677 43 7778 42 7879 41 7980 39 8081 37 8182 35 8283 33 8384 29 8485 27 8586 24 8687 22 8788 19 8889 17 8990 14 9091 12 9192 9 9293 7 9394 3
5e400955f7,
ad513e2b36,
2959cf9916,
d18e1a3ffe,3132 14 3233 23 3334 27 3435 45 3536 49 3637 50 3738 52 3839 52 3940 53 4041 53 4142 53 4243 53 4344 53 4445 53 4546 52 4647 52 4748 51 4849 51 4950 50 5051 49 5152 48 5253 46 5354 44 5455 42 5556 40 5657 39 5758 37 5859 36 5960 34 6061 33 6162 33 6263 32 6364 32 6465 31 6566 30 6667 29 6768 28 6869 27 6970 26 7071 25 7172 25 7273 25 7374 25 7475 25 7576 25 7677 25 7778 25 7879 26 7980 26 8081 26 8182 26 8283 25 8384 25 8485 25 8586 25 8687 25 8788 25 8889 25 8990 26 9091 26 9192 27 9293 27 9394 27 9495 27 9596 27 9697 26 9798 24 9899 23 10000 22 10101 21
3ab3158a27,
b6dc397995,1 81 102 85 203 90 303 9899
002af5d1e8,7879 8 7980 16 8081 24 8182 30 8283 33 8384 38 8485 43 8586 52 8687 57 8788 81 8874 3 8889 92 8990 98 9090 1112
1bde2dd64c,61 41 162 41 263 41 363 42 464 42 564 43 665 43 766 43 867 43 968 43 1069 43 1170 43 1270 44 1371 44 1472 44 1573 44 1674 44 1775 44 1876 44 1978 43 2080 42 2182 41 2284 40 2388 37 2491 35 2593 34 2695 33 2796 33 2898 32 2999 32 3101 31 3202 31 3303 31 3405 30 3506 30 3608 29 3710 28 3812 27 3913 27 4015 26 4117 25 4219 24 4320 24 4422 23 4524 22 4625 22 4727 21 4829 20 4930 20 5032 19 5132 20 5232 21 5333 21 5433 22 5533 23 5633 24 5734 24 5835 24 5937 23 6039 22 6141 21 6243 20 6345 19 6446 19 6547 19 6649 18 6750 18 6852 17 6954 16 7056 15 7158 14 7260 13 7361 13 7460 15 7560 16 7660 17 7760 18 7861 18 7963 17 8066 15 8169 13 8274 9 8378 6 8482 3
29994023fc,1 7070 7073 2 7080 92 7184 89 7286 88 7388 87 7490 86 7591 86 7691 87 7791 88 7889 91 7988 93 8088 94 8188 95 8288 96 8388 97 8488 98 8589 98 8692 96 8796 93 8900 90 9004 87 9107 85 9212 81 9317 77 9423 72 9527 69 9636 61 9741 57 9850 49 9958 42 10070 31 10183 19
0c6874fde9,1413 2 1513 3 1613 4 1713 5 1814 5 1915 5 2016 5 2117 5 2219 4 2321 3
5c283e9cad,1 82 102 81 203 79 304 76 405 75 506 73 607 72 708 70 809 66 910 60 1011 56 1112 50 1213 46 1314 38 1415 34 1516 29 1617 25 1718 22 1819 19 1920 17 2021 16 2122 15 2223 15 2324 14 2425 14 2526 14 2627 14 2728 14 2829 15 2930 15 3031 15 3132 15 3233 14 3334 14 3435 13 3536 13 3637 13 3738 13 3839 13 3940 14 4041 14 4142 14 4243 14 4344 14 4445 14 4546 14 4647 14 4748 14 4849 14 4950 14 5051 15 5152 15 5253 16 5354 16 5455 17 5556 17 5657 18 5758 18 5859 18 5960 18 6061 18 6162 18 6263 18 6364 18 6465 18 6566 17 6667 17 6768 17 6869 16 6970 15 7071 15 7172 14 7273 14 7374 13 7475 13 7576 12 7677 11 7778 11 7879 10 7980 10 8081 10 8182 10 8283 10 8384 9 8485 9 8586 9 8687 9 8788 9 8889 9 8990 9 9091 9 9192 9 9293 9 9394 9 9495 9 9596 9 9697 9 9798 9 9899 9 10000 9 10101 9
b91e65bb04,
d62486399c,45 57 145 58 246 58 347 58 448 58 549 58 650 58 751 58 852 58 954 57 1055 57 1156 57 1257 57 1358 57 1459 57 1560 57 1662 56 1763 56 1864 56 1966 55 2068 54 2169 54 2270 54 2372 53 2473 53 2574 53 2676 52 2777 52 2878 52 2979 52 3080 52 3180 53 3281 53 3382 53 3484 52 3585 52 3687 51 3789 50 3890 50 3992 49 4092 50 4193 50 4293 51 4394 51 4494 52 4595 52 4697 51 4798 51 4900 50 5002 49 5103 49 5204 49 5305 49 5406 49 5507 49 5607 50 5708 50 5808 51 5908 52 6008 53 6108 54 6209 54 6310 54 6411 54 6512 54 6613 54 6714 54 6815 54 6916 54 7017 54 7118 54 7219 54 7320 54 7421 54 7522 54 7623 54 7725 53 7827 52 7929 51 8032 49 8134 48 8235 48 8337 47 8438 47 8539 47 8641 46 8742 46 8844 45 8945 45 9046 45 9148 44 9249 44 9350 44 9451 44 9551 45 9652 45 9754 44 9855 44 9957 43 10059 42 10161 41
3f0d544cae,6969 1 7067 4 7165 7 7262 11 7361 13 7459 16 7558 18 7657 20 7757 21 7856 23 7956 24 8055 26 8154 28 8253 30 8352 32 8450 35 8550 36 8648 39 8747 41 8846 43 8945 45 9044 47 9143 49 9242 51 9342 52 9442 53 9541 55 9641 56 9741 57 9841 58 9941 59 10041 60 10141 61
9238f8f461,
040cf0d9ed,5948 3 6048 5 6149 5 6250 6 6350 8 6451 9 6551 12 6651 15 6752 16 6852 17 6953 17 7053 18 7153 19 7254 19 7354 20 7454 21 7554 22 7653 24 7753 25 7853 26 7952 28 8051 30 8149 33 8249 34 8348 36 8447 38 8546 40 8645 42 8745 43 8845 44 8945 45 9045 46 9144 48 9243 50 9342 52 9442 53 9542 54 9642 55 9742 56 9843 56 9943 57 10044 57 10145 57
664dd976a9,85 17 188 15 292 12 395 10 498 8 601 6 704 4
f6ece7409c,6868 1 6967 3 7066 5 7164 8 7259 14 7357 17 7455 20 7555 21 7654 23 7754 24 7853 26 7952 28 8051 30 8151 31 8250 33 8350 34 8450 35 8549 37 8648 39 8747 41 8847 42 8946 44 9046 45 9146 46 9245 48 9343 51 9441 54 9537 59 9635 62 9731 67 9829 70 9926 74 10025 76 10127 75
99f40c4b94,30 72 131 72 231 73 330 75 430 76 530 77 629 79 728 81 825 85 924 87 1023 89 1122 91 1222 92 1321 94 1420 7870 9293 94 9394 89 9495 77 9573 6 9596 66 9697 64 9798 62 9899 60 10000 58 10101 56
240285633f,1 4744 4748 92 4849 89 4950 80 5051 78 5152 75 5253 73 5354 72 5455 71 5556 70 5657 69 5758 68 5859 68 5960 67 6061 67 6162 66 6263 65 6364 63 6465 62 6566 61 6667 60 6768 58 6869 57 6970 56 7071 56 7172 55 7273 55 7374 55 7475 55 7576 55 7677 55 7778 55 7879 55 7980 55 8081 55 8182 53 8283 51 8384 45 8485 42 8586 38 8687 36 8788 34 8889 33 8990 31 9091 29 9192 28 9293 27 9394 25 9495 23 9596 22 9697 20 9798 17 9899 14 10000 10 10101 9
dfbdbcb4f7,1 11 102 11 203 11 304 11 405 11 506 11 607 11 708 11 809 11 910 11 1011 11 1112 11 1213 11 1314 11 1415 11 1516 11 1617 11 1718 11 1819 11 1920 11 2021 11 2122 11 2223 12 2324 13 2425 13 2526 14 2627 14 2728 15 2829 15 2930 16 3031 16 3132 17 3233 18 3334 20 3435 23 3536 24 3637 26 3738 27 3839 27 3940 28 4041 29 4142 29 4243 30 4344 31 4445 31 4546 32 4647 33 4748 35 4849 36 4950 37 5051 38 5152 40 5253 41 5354 42 5455 43 5556 45 5657 46 5758 47 5859 48 5960 49 6061 50 6162 51 6263 51 6364 52 6465 53 6566 53 6667 54 6768 55 6869 55 6970 56 7071 56 7172 56 7273 57 7374 57 7475 57 7576 57 7677 57 7778 57 7879 57 7980 57 8081 57 8182 57 8283 57 8384 58 8485 58 8586 58 8687 59 8788 59 8889 59 8990 59 9091 59 9192 59 9293 59 9394 59 9495 58 9596 58 9697 57 9799 56 9901 54 10002 54 10104 52
2cc9b18030,
44d28db2dc,
7dd17aac9d,
e4955211ab,
9ccbea0d6a,37 65 139 64 241 63 344 61 449 57 554 53 664 44 774 35 879 31 984 27 1087 25 1191 22 1296 18 1402 13 1507 9 1612 5 1717 1 6363 1 6462 3 6562 4 6661 6 6761 7 6862 7 6961 9 7061 10 7161 11 7261 12 7361 13 7461 14 7562 14 7662 15 7763 15 7864 15 7965 15 8066 15 8168 14 8270 13 8372 12 8474 11 8575 11 8677 10 8779 9 8880 9 8982 8 9083 8 9184 8 9286 7
58b893053f,1 8127 8132 88 8236 67 8340 6 8349 53 8452 49 8554 46 8661 26 8690 10 8766 22 8794 6 8870 19 8974 16 9079 12
b4cc869bd0,303 1 402 3 502 4 602 5 702 6 803 6 903 7 1003 8 1104 8 1204 9 1305 9 1405 10 1506 10 1606 11 1707 11 1808 11 1908 12 2009 12 2109 13 2210 13 2310 14 2410 15 2511 15 2611 16 2712 16 2812 17 2913 17 3013 18 3114 18 3214 19 3314 20 3414 21 3514 22 3615 22 3715 23 3815 24 3916 24 4016 25 4116 26 4216 27 4317 27 4417 28 4517 29 4616 31 4715 33 4812 37 4911 39 5011 40 5110 42 5210 43 5309 45 5407 48 5506 50 5604 53 5703 55 5802 57 5902 58 6002 59 6101 61 6200 63 6299 65 6399 66 6499 67 6598 69 6698 70 6796 73 6895 75 6993 78 7091 81 7189 84 7288 86 7388 87 7487 89 7587 90 7686 92 7786 93 7885 95 7984 703 8688 100 8790 99 8892 98 8993 98 9094 98 9196 97 9297 97 9399 96 9500 96 9601 96 9702 96 9802 97 9902 98 10003 98 10104 98
962598eac3,
e63ba604c4,1 6565 6567 4 6576 91 6678 90 6780 89 6882 88 6985 86 7087 85 7189 84 7291 83 7394 81 7496 73 7598 67 7700 64 7802 60 7904 56 8006 53 8107 49 8210 45 8312 42 8414 38 8516 6 8547 1
f597d72b6d,8787 1 8888 1 8988 2 9089 2 9190 2 9290 3 9390 4 9490 5 9590 6 9690 7 9790 8 9891 8 9992 8 10093 8 10194 8
abfc365c4b,
8d702c4aec,
8755799352,
570c9d5a7a,
b5821bfa07,
bf98f3e3a7,
5537f478e1,1 4847 4849 98 4950 96 5051 95 5152 93 5253 91 5354 89 5455 88 5556 86 5657 84 5758 82 5859 80 5960 78 6061 76 6162 74 6263 71 6364 68 6465 65 6566 62 6667 58 6768 52 6869 49 6970 45 7071 41 7172 38 7273 35 7374 30 7475 25 7576 16 7677 12 7778 7 7879 3
5de263d7ea,59 43 160 43 261 43 363 42 464 42 566 41 667 41 769 40 871 39 972 39 1074 38 1175 38 1277 37 1379 36 1480 36 1582 35 1684 34 1785 34 1887 33 1989 32 2090 32 2192 31 2293 31 2395 30 2496 30 2598 29 2699 29 2801 28 2903 27 3004 27 3106 26 3207 26 3309 25 3410 25 3512 24 3614 23 3716 22 3817 22 3919 21 4021 20 4123 19 4224 19 4326 18 4428 17 4530 16 4632 15 4734 14 4836 13 4939 11 5041 10 5143 9 5246 7 5348 6 5450 5 5552 4 5655 2 5757 1
7b23a72408,6862 7 6957 13 7049 22 7142 30 7236 37 7332 42 7431 44 7530 46 7630 47 7730 48 7830 49 7931 49 8031 50 8132 50 8232 51 8333 51 8433 52 8534 52 8635 52 8736 52 8836 53 8937 53 9038 53 9138 54 9238 55 9338 56 9437 58 9535 61 9634 63 9734 64 9834 65 9934 66 10035 66 10135 67
13cd1b2e50,78 24 179 24 280 24 381 24 482 24 583 23 684 22 785 21 886 20 987 19 1088 18 1189 17 1291 16 1392 15 1493 14 1595 10 1696 8 1798 6 1901 3 2719 1
8f135ade8b,
